localModeIndex,modeName,realPartPerSecond,imagPartRadPerSecond,dampingRatio,naturalFrequencyRadPerSecond,frequencyHz,timeConstantSeconds,doublingTimeSeconds,halvingTimeSeconds,dominantState,dominantStateParticipation,betaSymParticipation,betaDiffParticipation,rigidBodyParticipation,stable
1,spiral-like,0,0,-0,0,0,NaN,NaN,NaN,psi,1,0,0,1,0
2,roll-like,-2.02076256047343,0,1,2.02076256047343,0,0.494862691718574,NaN,0.343012679529035,p,0.820511849947446,0,0,1,1
3,dutch-roll-like,-0.0835719264873782,0.771942446478788,0.107632936369401,0.776453094251332,0.12285845613955,11.9657406743044,NaN,8.29401941170557,v,0.479905151801379,0,0,1,1
4,dutch-roll-like,-0.0835719264873782,-0.771942446478788,0.107632936369401,0.776453094251332,0.12285845613955,11.9657406743044,NaN,8.29401941170557,v,0.479905151801379,0,0,1,1
5,short-period-like,-0.466884312172122,1.09948933963842,0.39085794047273,1.19451151896119,0.174989163280298,2.14185821611273,NaN,1.48462298365769,q,0.485080856911397,0,0,1,1
6,short-period-like,-0.466884312172122,-1.09948933963842,0.39085794047273,1.19451151896119,0.174989163280298,2.14185821611273,NaN,1.48462298365769,q,0.485080856911397,0,0,1,1
7,spiral-like,-0.0727992230424361,0,1,0.0727992230424361,0,13.7364103380208,NaN,9.52135409681359,phi,0.857286579818016,0,0,1,1
8,longitudinal aperiodic,0.0399324342593561,0,-1,0.0399324342593561,0,25.0423000387386,17.3579996665879,NaN,theta,0.638838248765769,0,0,1,0
9,longitudinal aperiodic,-0.0736063817633228,0,1,0.0736063817633228,0,13.5857785159912,NaN,9.4169440740712,u,0.765727092254852,0,0,1,1
10,symmetric nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1
11,symmetric nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1
12,differential nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiffDot,0.5,0,1,0,1
13,differential nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiff,0.5,0,1,0,1
